问题ID,首次发现月份,最近出现月份,重复出现次数,车场名称,异常类型,异常描述,严重程度,负责人,当前状态,处理人,处理时间,备注,发现日期,建议处理期限
A1FF648C,2025-05,2025-05,4,居民区委托-缺失日期_202505,缺失日期,缺失 3 天数据,中,孙八,已处理,运营1,2025-06-01 10:00:00,已补全缺失日期数据,,2025-05-08
027774C8,2025-05,2025-05,4,万达广场委托车场,收入突降,当日收入较7日均值下降 31.5%,中,李四,待处理,,,,2025-05-29,2025-06-05
32E4E9A3,2025-05,2025-05,4,中心广场直营停车场,收入突降,当日收入较7日均值下降 33.0%,中,张三,待处理,,,,2025-05-13,2025-05-20
EE567A10,2025-05,2025-05,4,商业中心委托车场,收入突降,当日收入较7日均值下降 32.3%,中,赵六,待处理,,,,2025-05-07,2025-05-14
83F42648,2025-05,2025-05,4,商业中心委托车场,收入突降,当日收入较7日均值下降 32.2%,中,赵六,待处理,,,,2025-05-24,2025-05-31
64825C28,2025-05,2025-05,4,商业街直营-收入异常_202505,收入突降,当日收入较7日均值下降 32.9%,中,周九,待处理,,,,2025-05-12,2025-05-19
568751B9,2025-05,2025-05,4,商业街直营-收入异常_202505,收入突降,当日收入较7日均值下降 73.7%,高,周九,待处理,,,,2025-05-15,2025-05-18
63128535,2025-05,2025-05,4,居民区委托-缺失日期_202505,收入突降,当日收入较7日均值下降 33.0%,中,孙八,待处理,,,,2025-05-12,2025-05-19
8B8B3509,2025-05,2025-05,4,火车站直营停车场,收入突降,当日收入较7日均值下降 34.8%,中,钱七,待处理,,,,2025-05-05,2025-05-12
420F6E59,2025-05,2025-05,4,科技园A区直营_202505,收入突降,当日收入较7日均值下降 33.2%,中,王五,待处理,,,,2025-05-19,2025-05-26
C52D79B1,2025-05,2025-05,4,万达广场委托车场,缺少字段,"缺少入场时间(entry_time), 出场时间(exit_time)，无法计算高峰占用率",中,李四,待处理,,,,,2025-05-08
8A8BD349,2025-05,2025-05,4,中心广场直营停车场,缺少字段,"缺少入场时间(entry_time), 出场时间(exit_time)，无法计算高峰占用率",中,张三,已处理,运营B,2025-06-11 14:00:00,已补充入出场数据字段,,2025-05-08
76FADA64,2025-05,2025-05,4,商业中心委托车场,缺少字段,"缺少入场时间(entry_time), 出场时间(exit_time)，无法计算高峰占用率",中,赵六,待处理,,,,,2025-05-08
328570EF,2025-05,2025-05,4,商业街直营-收入异常_202505,缺少字段,"缺少入场时间(entry_time), 出场时间(exit_time)，无法计算高峰占用率",中,周九,待处理,,,,,2025-05-08
F4951FEF,2025-05,2025-05,4,居民区委托-缺失日期_202505,缺少字段,"缺少入场时间(entry_time), 出场时间(exit_time)，无法计算高峰占用率",中,孙八,待处理,,,,,2025-05-08
B650CAD8,2025-05,2025-05,4,火车站直营停车场,缺少字段,"缺少入场时间(entry_time), 出场时间(exit_time)，无法计算高峰占用率",中,钱七,待处理,,,,,2025-05-08
ACEBC597,2025-05,2025-05,4,科技园A区直营_202505,缺少字段,"缺少入场时间(entry_time), 出场时间(exit_time)，无法计算高峰占用率",中,王五,待处理,,,,,2025-05-08
